Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
KEN,2021,IP.IDS.NRCT,27
KEN,2020,IP.IDS.NRCT,19
KEN,2019,IP.IDS.NRCT,11
KEN,2018,IP.IDS.NRCT,7
KEN,2017,IP.IDS.NRCT,7
KEN,2016,IP.IDS.NRCT,15
KEN,2015,IP.IDS.NRCT,12
KEN,2014,IP.IDS.NRCT,17
KEN,2013,IP.IDS.NRCT,8
KEN,2012,IP.IDS.NRCT,10
KEN,2011,IP.IDS.NRCT,28
KEN,2010,IP.IDS.NRCT,7
KEN,2009,IP.IDS.NRCT,14
KEN,2008,IP.IDS.NRCT,10
KEN,2007,IP.IDS.NRCT,32
KEN,2006,IP.IDS.NRCT,18
KEN,2005,IP.IDS.NRCT,15
KEN,2004,IP.IDS.NRCT,11
KEN,2003,IP.IDS.NRCT,10
KEN,2002,IP.IDS.NRCT,12
KEN,1999,IP.IDS.NRCT,13
KEN,1998,IP.IDS.NRCT,14
KEN,1997,IP.IDS.NRCT,8
KEN,2021,IP.IDS.RSCT,126
KEN,2020,IP.IDS.RSCT,220
KEN,2019,IP.IDS.RSCT,154
KEN,2018,IP.IDS.RSCT,170
KEN,2017,IP.IDS.RSCT,141
KEN,2016,IP.IDS.RSCT,89
KEN,2015,IP.IDS.RSCT,73
KEN,2014,IP.IDS.RSCT,78
KEN,2013,IP.IDS.RSCT,78
KEN,2012,IP.IDS.RSCT,93
KEN,2011,IP.IDS.RSCT,86
KEN,2010,IP.IDS.RSCT,69
KEN,2009,IP.IDS.RSCT,76
KEN,2008,IP.IDS.RSCT,39
KEN,2007,IP.IDS.RSCT,42
KEN,2006,IP.IDS.RSCT,54
KEN,2005,IP.IDS.RSCT,102
KEN,2004,IP.IDS.RSCT,44
KEN,2003,IP.IDS.RSCT,43
KEN,2002,IP.IDS.RSCT,73
KEN,1999,IP.IDS.RSCT,34
KEN,1998,IP.IDS.RSCT,28
KEN,1997,IP.IDS.RSCT,25
KEN,2020,IP.TMK.NRCT,6750
KEN,2019,IP.TMK.NRCT,7457
KEN,2017,IP.TMK.NRCT,6743
KEN,2015,IP.TMK.NRCT,6188
